Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42435000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42435000;1;01/11/2019;;1;1;13,766;3,331;7,397;27;17;1;1;1;0;0;6,412;5,585;4,885;4,592;4,496;4,352;4,544;5,232;11,099;11,099;7,978;6,203;5,333;4,934;4,352;3,741;3,331;3,88;9,495;9,449;8,537;6,836;8,491;8,2;9,082;10,717;13,766;12,564;11,777;10,955;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42435000;1;01/09/2017;;1;1;0,324;0,053;0,181;9;2;1;1;1;0;0;0,09;0,053;0,09;0,132;0,132;0,176;0,223;0,273;0,324;0,324;0,273;0,273;0,273;0,273;0,176;0,176;0,223;0,223;0,176;0,223;0,176;0,176;0,176;0,132;0,132;0,09;0,132;0,132;0,09;0,09;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42435000;1;01/08/2017;;1;1;0,735;0,022;0,377;18;31;1;1;1;0;0;0,491;0,433;0,433;0,491;0,55;0,55;0,55;0,55;0,491;0,433;0,378;0,378;0,378;0,433;0,433;0,491;0,61;0,735;0,672;0,55;0,378;0,273;0,132;0,09;0,132;0,176;0,176;0,132;0,09;0,053;0,022;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42435000;1;01/07/2017;;1;1;0,672;0,378;0,542;17;2;1;1;1;0;0;0,433;0,378;0,378;0,433;0,433;0,378;0,433;0,433;0,491;0,491;0,491;0,55;0,61;0,61;0,55;0,61;0,672;0,61;0,55;0,61;0,61;0,61;0,672;0,55;0,61;0,61;0,61;0,61;0,61;0,61;0,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42435000;1;01/06/2017;;1;1;1,891;0,378;1,048;1;29;1;1;1;0;0;1,891;1,429;1,429;1,282;1,139;1,069;1,282;1,21;1,282;1,355;1,21;1,139;1,21;1,282;1,139;1,069;1,139;1,21;1,069;1,069;1;0,932;0,932;0,735;0,61;0,55;0,491;0,462;0,378;0,433;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42435000;1;01/05/2017;;1;1;2,896;1,812;2,281;3;10;1;1;1;0;0;2,722;2,809;2,896;2,809;2,636;2,466;2,133;2,052;1,971;1,812;1,891;2,052;2,133;2,215;1,971;2,052;1,971;2,133;2,052;2,133;2,298;2,55;2,896;2,636;2,466;2,215;2,215;2,298;2,215;2,052;1,971;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42435000;1;01/04/2017;;1;1;17,206;2,809;4,763;1;30;1;1;1;0;0;17,206;13,061;11,099;7,033;6,711;5,975;4,762;3,99;4,085;3,99;3,616;3,433;3,524;3,433;3,342;3,433;3,524;3,433;3,342;3,433;3,252;3,073;3,162;3,073;2,984;3,073;3,162;2,984;2,896;2,809;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42435000;1;01/03/2017;;1;1;23,558;2,636;7,257;31;19;1;1;1;0;0;4,276;4,469;4,959;7,033;11,099;13,061;12,762;11,099;5,975;4,959;4,276;3,896;3,524;3,252;3,342;3,073;2,984;2,722;2,636;6,711;13,665;13,162;10,149;5,768;4,959;5,564;5,666;6,499;6,818;13,061;23,558;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42435000;1;01/02/2017;;1;1;14,071;2,55;5,673;15;6;1;1;1;0;0;3,073;3,252;3,162;2,896;2,722;2,55;2,636;3,073;3,896;4,566;4,959;9,219;11,099;13,061;14,071;13,262;12,862;9,219;4,959;4,86;4,372;4,18;3,99;3,524;3,162;3,073;3,433;3,709;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42435000;1;01/01/2017;;1;1;8,803;1,971;3,768;19;12;1;1;1;0;0;3,524;3,433;3,524;3,252;3,073;3,073;2,896;2,722;2,636;2,052;2,133;1,971;2,133;2,381;2,466;2,896;3,99;8,69;8,803;8,352;5,975;6,079;3,99;4,085;3,802;3,252;3,162;3,073;2,984;3,162;3,252;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
