Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42546000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42546000;1;01/08/2021;;1;1;;;;;;0;0;0;0;0;3,663;3,663;3,539;3,417;3,297;3,049;2,612;2,435;2,208;1,89;1,549;1,243;1,243;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42546000;1;01/07/2021;;1;1;5,059;2,552;4,327;1;30;1;1;1;0;0;5,059;5,059;5,059;5,059;4,983;4,907;4,832;4,758;4,832;4,832;4,684;4,611;4,611;4,467;4,467;4,467;4,326;4,326;4,257;4,257;4,188;4,053;4,053;3,92;3,92;3,92;3,79;3,663;3,663;2,552;2,552;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42546000;1;01/06/2021;;1;1;7,116;5,059;5,822;1;30;1;1;1;0;0;7,116;6,743;6,743;6,561;6,561;6,382;6,471;6,207;6,207;6,034;6,034;5,864;5,864;5,864;5,697;5,697;5,697;5,615;5,615;5,533;5,452;5,372;5,293;5,214;5,214;5,136;5,136;5,136;5,136;5,059;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42546000;1;01/05/2021;;1;1;8,522;6,743;7,493;3;24;1;1;1;0;0;8,311;8,416;8,522;8,416;8,207;8,104;8,104;8,104;8,002;7,9;7,9;7,799;7,7;7,502;7,308;7,308;7,212;7,116;7,116;7,022;6,928;7,308;6,928;6,743;6,743;6,743;6,835;7,022;6,928;6,928;7,116;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42546000;1;01/04/2021;;1;1;18,921;1,549;4,47;27;25;1;1;1;0;0;9,853;5,372;3,92;3,986;4,832;17,072;2,92;2,92;2,795;2,672;2,552;2,435;2,435;2,32;2,208;2,208;2,099;2,099;1,993;1,941;1,89;1,789;1,596;1,596;1,549;2,984;18,921;8,522;8,311;8,311;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42546000;1;01/03/2021;;1;1;283,194;6,928;23,647;10;20;3;3;3;0;0;9,737;8,843;8,207;8,522;7,6;8,002;8,522;78,341;112,841;283,194;13,02;32,601;9,172;7,502;7,404;7,308;7,212;7,116;7,116;6,928;6,928;7,308;7,502;7,7;8,104;8,311;8,522;8,311;8,207;8,104;14,887;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;
42546000;1;01/02/2021;;1;1;108,041;3,477;14,159;6;1;1;1;1;0;0;3,477;3,727;5,949;6,12;8,416;108,041;14,006;7,7;3,539;4,397;6,034;8,207;8,522;14,442;12,343;23,568;8,522;8,104;7,799;7,404;6,928;7,6;11,055;44,381;8,416;7,116;27,749;12,883;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42546000;1;01/01/2021;;1;1;7,022;2,435;4,384;3;30;1;1;1;0;0;6,561;6,835;7,022;6,652;6,561;6,382;6,034;5,864;5,697;5,372;5,136;4,907;4,684;4,467;4,326;4,053;3,92;3,417;3,357;3,297;3,049;3,049;3,049;2,92;2,92;2,795;2,795;2,552;2,493;2,435;3,297;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42546000;1;01/12/2020;;1;1;255,561;6,382;16,386;20;30;3;3;3;0;0;7,9;7,9;8,207;8,522;8,104;8,207;8,311;8,311;8,522;13,297;12,21;8,522;8,104;7,7;7,6;7,308;7,799;8,522;8,628;255,561;13,297;9,853;8,311;8,104;7,9;7,502;7,502;6,743;6,561;6,382;6,561;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
42546000;1;01/11/2020;;1;1;12,21;4,188;6,862;14;10;1;1;1;0;0;5,533;5,78;6,034;6,294;5,78;5,452;5,293;5,059;4,758;4,188;4,467;8,311;9,623;12,21;8,952;8,311;8,104;7,7;7,7;7,502;7,308;7,308;6,928;6,743;6,561;6,561;6,207;6,561;7,116;7,502;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
