Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42930000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42930000;1;01/10/2010;;1;1;;;;;;;;;;;80,592;;;;;93,48;98,949;99,738;92,706;88,104;85,83;97,377;102,116;102,116;102,912;93,48;97,377;89,63;105,312;158,394;237,661;182,482;183,429;;;;;;;;;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;
42930000;1;01/09/2010;;1;1;99,738;69,709;86,855;15;3;1;1;1;;;71,132;76,912;69,709;72,565;88,866;94,255;76,912;75,455;74,006;92,706;95,033;79,114;93,48;91,164;99,738;90,396;90,396;85,83;81,335;99,738;99,738;97,377;96,594;98,162;88,866;88,866;85,83;85,076;83,573;82,825;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42930000;1;01/08/2010;;1;1;160,21;125,937;139,656;12;20;1;1;1;;;136,219;136,219;134,489;134,489;134,489;134,489;134,489;157,488;156,583;158,394;154,779;160,21;159,301;153,88;156,583;153,88;150,296;144,087;137,087;125,937;125,937;125,937;128,485;131,048;126,785;127,634;128,485;133,626;128,485;128,485;131,048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42930000;1;01/07/2010;;1;1;162,033;136,219;151,596;1;31;1;1;1;;;162,033;162,033;155,68;157,488;159,301;154,779;154,779;156,583;155,68;155,68;153,88;153,88;153,88;152,085;152,085;152,085;152,085;152,085;152,085;150,296;150,296;148,514;148,514;147,626;146,738;146,738;144,969;144,969;143,206;143,206;136,219;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42930000;1;01/06/2010;;1;1;196,833;159,301;184,542;1;28;1;1;1;;;196,833;196,833;194,901;194,901;192,974;189,139;195,866;194,901;191,054;190,095;188,183;187,23;189,139;191,054;187,23;187,23;186,277;176,833;169,385;172,167;177,771;174,029;178,71;191,054;189,139;189,139;186,277;159,301;159,301;159,301;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42930000;1;01/05/2010;;1;1;271,073;196,833;236,556;2;31;1;1;1;;;270,009;271,073;267,885;264,709;263,653;259,44;251,076;238,685;236,638;232,56;234,597;248,998;252,117;250,037;246,925;244,857;232,56;227,493;210,515;215,468;241,765;246,925;236,638;229,516;219,454;218,456;208,544;204,618;207,56;203,64;196,833;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42930000;1;01/04/2010;;1;1;986,172;270,009;543,492;7;30;1;1;3;;;860,919;880,804;900,854;927,846;927,846;979,242;986,172;965,437;864,222;708,142;630,101;581,394;415,72;406,079;403,679;415,72;391,745;365,87;351,981;342,811;331,452;329,193;315,741;311,295;302,458;293,698;289,347;280,703;274,272;270,009;;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42930000;1;01/03/2010;;1;1;1243,592;333,714;622,733;9;19;3;3;3;;;577,388;609,664;609,664;653,504;674,363;699,651;781,53;768,423;1243,592;989,644;764,069;588,088;590,773;462,421;383,455;443,809;431,529;508,006;333,714;570,73;536,484;526,075;586,748;689,784;620,539;541,711;570,73;566,746;562,771;568,073;851,04;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
42930000;1;01/02/2010;;1;1;;;;;;;;;;;463,67;407,28;372,875;346,241;323,568;310,186;324,691;312,405;330,322;333,714;358,905;;;322,446;305,763;283,935;273,204;266,825;256,294;255,248;265,766;266,825;292,608;285,015;265,766;250,037;250,037;272,138;;;;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
42930000;1;01/01/2010;;1;1;1467,758;372,875;716,637;2;22;1;1;1;;;1398,09;1467,758;1347,149;1194,826;1045,797;963,716;872,498;924,456;848,046;840,576;797,64;723,787;635,584;568,073;527,372;469,929;471,184;476,214;452,466;425,428;402,481;372,875;375,218;443,809;519,6;642,459;586,748;582,731;668,781;628,732;541,711;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
