Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42290000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42290000;1;01/02/2022;;1;1;538,271;155,885;352,03;15;1;1;1;1;;0;155,885;205,771;246,555;261,876;260,715;279,097;293,84;322,783;371,495;444,433;440,507;446,401;457,613;504,182;538,271;514,529;447,714;441,161;428,808;414,671;386,311;369,047;348,485;301,907;279,888;249,993;233,761;211,137;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42290000;1;01/01/2022;;1;1;;;;;;0;0;0;;0;291,433;460,266;;;;;;;;;;;;;;;;;;481,024;378,876;307,187;291,834;270,053;224,48;192,295;179,432;172,683;162,868;152,42;136,867;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;3;;;;;;;
42290000;1;01/12/2021;;1;1;;;;;;0;0;0;0;0;;78,567;98,106;111,043;94,867;85,35;88,489;102,695;118,895;129,793;143,269;160,533;183,43;227,424;248,273;255,604;265,371;271,227;287,436;321,957;350,881;350,881;334,846;328,59;318,244;301,502;285,842;;;;160,922;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;
42290000;1;01/11/2021;;1;1;;;;;;0;0;0;;0;31,56;30,639;29,953;29,272;28,82;27,036;25,07;23,36;25,286;25,938;27,257;29,498;33,664;35,567;34,137;32,024;32,49;37,746;43,487;58,157;76,143;195,542;147,066;128,684;93,902;99,084;114,778;133,133;177,839;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
42290000;1;01/10/2021;;1;1;35,567;6,704;20,665;24;5;1;1;1;0;0;7,293;7,144;6,997;6,997;6,704;6,704;6,704;7,592;8,203;9,465;10,116;10,948;14,832;18,457;19,05;20,457;23,784;27,257;29,953;31,792;32,49;33,664;35,089;35,567;35,328;33,428;31,792;29,498;29,272;31,56;32,49;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42290000;1;01/09/2021;;1;1;9,144;5,3;7,282;1;27;1;1;1;;0;9,144;9,144;9,144;8,827;8,827;8,827;8,827;8,513;8,513;8,358;8,049;7,896;7,592;7,442;7,144;6,85;6,704;6,416;6,416;6,131;6,131;5,85;5,85;5,711;5,573;5,573;5,3;5,99;6,416;7,293;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42290000;1;01/08/2021;;1;1;11,456;9,144;10,313;1;30;1;1;1;0;0;11,456;11,116;11,116;11,116;11,116;11,116;10,78;10,78;10,78;10,78;10,78;10,78;10,446;10,446;10,446;10,446;10,446;10,116;10,116;10,116;10,116;9,789;9,789;9,789;9,789;9,465;9,465;9,465;9,465;9,144;9,144;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42290000;1;01/07/2021;;1;1;13,558;11,456;12,673;8;31;1;1;1;;0;13,2;13,2;13,2;13,2;13,2;13,2;13,2;13,558;13,558;13,2;13,2;13,2;13,023;12,845;12,845;12,845;12,494;12,494;12,494;12,494;12,494;12,145;12,145;12,145;12,145;12,145;12,145;11,799;11,799;11,799;11,456;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42290000;1;01/06/2021;;1;1;16,519;13,2;14,708;1;21;1;1;1;;0;16,519;16,519;16,519;16,139;16,139;16,139;16,139;16,139;15,762;15,762;15,762;15,762;15,762;15,388;15,016;14,648;14,281;13,918;13,558;13,379;13,2;13,2;13,2;13,2;13,2;13,2;13,2;13,2;13,2;13,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42290000;1;01/05/2021;;1;1;22,519;16,519;19,676;1;31;1;1;1;;0;22,519;22,519;22,102;22,102;21,687;21,481;21,07;20,661;20,457;20,052;20,052;20,052;20,052;20,052;19,65;19,65;19,65;19,65;19,25;19,25;19,25;18,852;18,852;18,457;18,457;18,064;17,674;17,674;17,286;16,901;16,519;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42290000;1;01/04/2021;;1;1;;;;;;0;0;0;;0;33,193;33,193;32,724;32,724;32,49;32,257;31,792;31,792;31,329;31,329;30,868;30,868;30,41;30,41;29,498;29,046;28,82;27,257;26,375;25,938;25,503;25,07;24,639;26,375;23,149;21,687;20,255;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;
