Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42860000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42860000;1;01/11/2021;;1;1;;;;;;0;0;0;0;0;23,836;40,268;70,937;;;;66;;;;;39,032;46,751;48,795;;;;;;;;161,278;;50,183;39,032;23,836;;;;;;;;;0;0;0;;0;0;0;0;;;;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;
42860000;1;01/10/2021;;1;1;;;;;;0;0;0;0;0;;;;;;;;;;;5,109;9,217;9,481;10,861;;;;;;;16,627;29,34;59,706;16,274;55,203;;28,814;17,345;11,735;8,699;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;;;;;0;;;;;0;
42860000;1;01/09/2021;;1;1;;;;;;0;0;0;0;0;;;;;;;;;4,728;4,728;4,728;4,728;4,728;4,728;4,363;4,363;4,363;4,363;4,363;4,363;4,186;4,012;;;;;;;;;;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;
42860000;1;01/08/2021;;1;1;8,197;6,782;7,626;1;28;1;1;1;0;0;8,197;8,197;8,197;8,197;8,197;8,197;8,197;8,197;8,197;8,197;8,197;7,71;7,71;7,71;7,71;7,71;7,71;7,71;7,472;7,239;7,239;7,239;7,239;7,239;7,239;7,239;7,009;6,782;6,782;6,782;6,782;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42860000;1;01/12/2020;;1;1;;;;;;0;0;0;0;0;;;;;34,865;32,04;27,779;25,278;35,445;41,524;49,486;51,592;52,304;;;;;;;;;;;;;;;;;;;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42860000;1;01/11/2020;;1;1;;;;;;0;0;0;0;0;69,27;;;;25,768;16,984;15,924;13,587;12,034;;10,577;10,861;37,216;;103,49;48,795;42,8;39,647;37,216;64,395;85,021;;;66;61,249;44,097;30,405;20,374;18,452;17,71;;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;
42860000;1;01/10/2020;;1;1;;;;;;0;0;0;0;0;5,504;5,109;4,917;4,728;4,363;4,363;4,012;4,012;3,677;3,677;3,515;3,357;4,012;5,109;9,217;11,735;9,749;7,239;7,71;7,952;8,699;9,749;52,304;;33,155;37,216;26,263;18,828;;;64,395;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;
42860000;1;01/09/2020;;1;1;;;;;;0;0;0;0;0;;;;;;;;;6,782;6,782;6,56;6,341;6,341;6,341;6,341;6,341;5,915;5,915;5,915;5,915;5,915;5,915;5,708;5,504;5,915;6,341;6,126;5,915;5,915;5,915;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;
42860000;1;01/08/2020;;1;1;;;;;;0;0;0;0;0;13,909;13,909;13,909;13,269;13,269;13,269;13,269;12,954;12,644;12,644;12,644;12,337;12,034;12,034;11,735;11,44;11,44;;;;10,861;10,861;10,861;10,861;10,861;10,297;10,297;10,297;10,297;10,021;9,749;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;
42860000;1;01/07/2020;;1;1;18,828;13,909;16,664;1;31;1;1;1;0;0;18,828;18,828;18,828;18,828;18,828;18,079;18,079;18,079;18,079;18,079;17,345;17,345;17,345;17,345;16,984;16,627;16,627;16,627;15,924;15,924;15,924;15,579;15,237;15,237;15,237;14,899;14,566;14,566;14,566;14,236;13,909;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
