Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42440000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42440000;1;01/01/2022;;1;1;63,902;9,18;27,021;7;31;3;3;3;;0;55,394;42,339;37,238;36,467;27,97;56,881;63,902;42,539;31,548;29,792;35,604;42,24;57,521;34,651;22,842;21,47;21,131;20,158;16,909;14,516;13,681;13,271;12,665;12,566;11,875;11,487;11,2;10,915;10,079;9,625;9,18;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
42440000;1;01/12/2021;;1;1;71,892;3,187;10,779;31;11;1;1;1;0;0;3,488;3,488;3,488;3,721;4,513;3,801;3,721;3,565;3,488;3,336;3,187;3,187;9,092;31,92;27,159;21,897;9,806;11,584;9,896;14,727;11,105;9,806;8,4;7,895;7,812;7,565;6,922;6,609;6,455;10,634;71,892;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42440000;1;01/11/2021;;1;1;16,574;1,348;4,561;23;1;1;1;1;;0;1,348;1,55;1,657;1,766;1,879;1,879;1,879;1,937;2,115;2,3;2,625;7,081;11,487;8,571;7,241;6,226;5,272;4,852;4,784;4,58;9,987;5,558;16,574;3,565;2,693;2,364;2,364;2,3;6,687;3,721;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42440000;1;01/10/2021;;1;1;3,928;0,9;1,418;23;6;1;1;1;0;0;0,983;0,983;0,983;0,983;0,983;0,9;0,9;0,9;0,983;0,983;1,158;1,251;1,251;1,251;1,251;1,348;1,348;1,348;1,447;1,657;2,115;1,995;3,928;2,761;1,995;1,447;1,447;1,447;1,348;1,348;1,251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42440000;1;01/09/2021;;1;1;1,204;0,9;0,997;1;20;1;1;1;;0;1,204;1,158;1,113;1,069;1,069;1,069;1,069;1,069;1,069;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,983;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,941;0,983;0,983;0,983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
42440000;1;01/08/2021;;1;1;1,657;1,251;1,411;1;24;1;1;1;0;0;1,657;1,657;1,55;1,55;1,55;1,55;1,55;1,498;1,447;1,447;1,447;1,447;1,447;1,447;1,447;1,447;1,447;1,447;1,348;1,348;1,348;1,348;1,299;1,251;1,251;1,251;1,251;1,251;1,251;1,251;1,251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42440000;1;01/07/2021;;1;1;1,879;1,657;1,787;1;28;1;1;1;;0;1,879;1,879;1,879;1,879;1,879;1,879;1,879;1,879;1,879;1,822;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,766;1,657;1,657;1,657;1,657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42440000;1;01/06/2021;;1;1;2,493;1,879;2,231;1;29;1;1;1;;0;2,493;2,493;2,493;2,493;2,493;2,493;2,428;2,364;2,364;2,364;2,364;2,237;2,237;2,237;2,237;2,237;2,237;2,176;2,115;2,115;2,115;2,115;2,115;2,115;2,055;1,995;1,995;1,995;1,879;1,879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
42440000;1;01/05/2021;;1;1;3,488;2,559;3,008;1;31;1;1;1;;0;3,488;3,488;3,488;3,488;3,488;3,411;3,336;3,261;3,187;3,187;3,187;3,187;3,042;3,042;3,042;3,042;2,9;2,9;2,83;2,761;2,761;2,761;2,761;2,761;2,761;2,625;2,625;2,625;2,625;2,625;2,559;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42440000;1;01/04/2021;;1;1;7,978;3,488;5,22;1;30;1;1;1;;0;7,978;7,812;7,647;7,081;6,843;6,609;6,378;6,15;6;5,778;5,558;5,272;5,13;5,06;4,921;4,852;4,716;4,648;4,58;4,381;4,315;4,184;4,055;4,055;3,928;3,928;3,801;3,801;3,642;3,488;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
