Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42255000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42255000;1;01/05/2010;;1;1;;;;;;;;;;;2,794;2,794;2,588;2,588;2,382;2,382;2,382;2,382;2,382;2,382;2,382;2,138;2,138;2,138;2,138;1,936;1,936;1,936;1,936;1,936;1,839;1,839;1,745;1,745;1,745;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
42255000;1;01/04/2010;;1;1;28,757;2,794;5,576;1;28;1;1;1;;;28,757;7,078;8,011;7,546;7,732;8,197;6,984;6,322;6,132;5,942;5,559;5,366;4,785;4,394;4,198;4;3,901;3,802;3,802;3,602;3,602;3,402;3,402;3,2;3,2;2,998;2,998;2,794;2,794;2,794;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42255000;1;01/03/2010;;1;1;6,512;1,839;2,974;17;1;1;1;1;;;1,839;2,035;3,2;2,588;2,588;2,382;2,138;2,138;2,138;2,138;2,138;2,794;2,382;5,173;2,998;2,588;6,512;4,198;4;3,901;3,602;3,402;3,402;2,998;2,998;2,794;2,794;2,588;2,588;2,588;2,588;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/02/2010;;1;1;3,301;1,745;2,155;8;17;1;1;1;;;2,588;2,588;2,382;2,382;2,138;2,138;2,998;3,301;2,896;2,588;2,382;2,382;2,138;2,138;1,936;1,936;1,745;1,745;1,745;1,745;1,745;1,745;1,745;1,745;1,745;1,936;1,936;1,839;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
42255000;1;01/01/2010;;1;1;6,984;2,794;4,003;1;30;1;1;1;;;6,984;6,512;5,559;5,077;4,688;4,296;5,846;4,98;4,883;4,394;4,198;4,198;4;4;4;3,802;3,802;3,602;3,2;3,099;2,998;3,2;3,2;3,2;2,998;2,998;2,998;2,896;2,896;2,794;2,794;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/12/2009;;1;1;24,812;0,825;4,9;28;1;1;1;1;;;0,825;2,382;1,839;1,396;1,654;8,104;3,802;2,485;3,2;5,27;2,998;2,382;2,242;3,2;4,148;3,602;2,896;2,588;10,486;5,077;3,901;3,502;3,301;2,998;3,099;4,492;10,943;24,812;9,759;7,825;6,701;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/11/2009;;1;1;3,099;0,707;1,089;11;26;1;1;1;;;0,825;1,09;1,745;0,952;0,952;0,952;0,952;0,952;1,396;2,19;3,099;1,316;1,02;1,09;0,952;0,952;0,952;0,952;0,952;0,952;0,825;0,825;0,825;0,825;0,825;0,707;0,707;0,707;0,707;1,48;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42255000;1;01/10/2009;;1;1;2,138;0,707;1,076;20;2;1;1;1;;;1,565;0,707;0,707;1,48;0,825;0,825;0,825;0,825;0,825;0,919;0,825;0,825;1,316;1,238;1,09;1,09;1,09;1,396;1,396;2,138;1,565;0,952;0,952;0,825;1,09;1,09;1,09;1,02;0,952;0,952;0,952;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/08/2009;;1;1;2,137;0,707;0,909;24;19;1;1;1;;;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,825;0,825;0,825;0,825;0,825;0,825;0,825;0,825;0,825;0,707;0,707;0,707;0,707;0,707;2,137;1,09;1,02;1,238;0,952;0,952;0,952;0,887;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/07/2009;;1;1;1,396;0,952;1,111;1;23;1;1;1;;;1,396;1,396;1,396;1,238;1,238;1,238;1,238;1,238;1,238;1,238;1,238;1,238;1,09;1,09;1,09;1,09;1,09;1,02;1,02;1,02;1,02;1,02;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952;0,952;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/06/2009;;1;1;1,745;1,396;1,523;1;16;1;1;1;;;1,745;1,745;1,745;1,745;1,745;1,745;1,745;1,565;1,565;1,565;1,565;1,565;1,565;1,565;1,565;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;1,396;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42255000;1;01/05/2009;;1;1;2,998;1,745;2,286;1;28;1;1;1;;;2,998;2,998;2,794;2,794;2,794;2,794;2,588;2,588;2,588;2,588;2,382;2,382;2,382;2,382;2,382;2,137;2,137;2,137;2,137;2,137;2,137;1,936;1,936;1,936;1,936;1,936;1,936;1,745;1,745;1,745;1,745;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/04/2009;;1;1;15,207;2,794;4,915;8;1;1;1;1;;;2,794;3,15;8,567;5,846;5,559;5,366;7,965;15,207;7,639;6,322;5,559;5,366;4,98;4,98;4,785;4,785;4,394;4,198;4,198;3,802;3,602;3,402;3,2;3,2;3,2;3,2;3,2;2,998;2,998;2,998;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42255000;1;01/03/2009;;1;1;4,98;2,137;3,007;26;21;1;1;1;;;3,802;3,602;3,402;3,2;3,2;2,998;2,998;3,402;2,998;2,794;2,794;2,588;2,588;2,794;2,588;2,588;3,301;2,588;2,588;2,382;2,137;2,137;2,382;2,382;4,099;4,98;3,402;3,502;3,301;2,896;2,794;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/02/2009;;1;1;26,358;2,998;6,343;15;4;1;1;1;;;3,602;4,296;3,502;2,998;2,998;2,998;8,15;6,748;5,655;6,132;5,559;6,937;7,171;7,546;26,358;12,217;8,474;7,171;6,322;5,366;5,173;4,785;4,59;4,492;4,98;4,883;4,394;4,099;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
42255000;1;01/01/2009;;1;1;13,42;1,565;4,352;21;15;1;1;1;;;3,301;2,896;2,691;2,743;4,883;3,802;3,402;2,998;2,794;2,588;2,242;1,936;1,936;1,745;1,565;1,565;2,998;2,998;2,137;7,078;13,42;7,078;10,486;11,124;6,701;5,655;4,98;4,785;4,59;4,198;3,602;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/12/2008;;1;1;5,27;0,825;1,825;20;3;1;1;1;;;0,887;0,855;0,825;0,825;0,825;0,952;0,952;0,952;0,952;0,825;0,825;1,238;1,238;1,396;1,396;1,396;1,163;1,396;1,936;5,27;2,588;2,137;1,936;1,745;1,745;5,077;4,883;3,502;2,896;2,035;1,936;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/11/2008;;1;1;3,2;0,501;1,112;14;5;1;1;1;;;0,599;0,599;0,599;0,599;0,501;0,501;1,396;1,238;1,238;1,238;1,238;1,238;1,699;3,2;2,794;1,238;1,238;1,09;1,09;0,952;0,952;0,952;0,952;0,952;0,887;0,887;0,855;0,855;0,887;0,887;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42255000;1;01/10/2008;;1;1;1,163;0,599;0,82;3;25;1;1;1;;;1,09;1,09;1,163;1,163;1,02;1,02;1,02;0,986;0,952;0,952;0,952;0,952;1,02;0,825;0,707;0,707;0,707;0,707;0,707;0,707;0,707;0,707;0,707;0,652;0,599;0,599;0,599;0,599;0,599;0,599;0,599;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42255000;1;01/09/2008;;1;1;1,784;1,263;1,352;28;20;1;1;1;;;1,426;1,426;1,371;1,371;1,371;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,316;1,263;1,263;1,426;1,426;1,426;1,316;1,316;1,316;1,784;1,316;1,316;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
