Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42540000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42540000;1;01/05/2010;;1;1;;;;;;;;;;;56,504;56,828;50,763;55,213;54,57;50,45;53,292;53,611;53,292;53,292;57,153;61,754;57,153;55,535;45,813;44,599;41,606;43,395;40,72;39,84;38,385;41,606;40,72;42,2;41,31;41,606;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
42540000;1;01/04/2010;;1;1;318;56,504;90,428;2;30;3;1;3;;;111,746;318;114,52;148,005;121,339;119,322;307,65;96,282;76,511;71,259;66,118;64,093;63,422;64,093;65,441;64,093;62,42;59,44;60,099;60,099;61,09;62,087;65,779;63,088;58,457;58,457;58,13;58,457;56,828;56,504;;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42540000;1;01/03/2010;;1;1;299,25;61,09;94,138;14;20;1;1;1;;;69,189;118,116;93,645;121,339;92,148;124,587;108,209;86,231;98,558;86,965;88,068;74,047;109,384;299,25;91,03;69,533;63,088;61,422;63,088;61,09;62,753;111,746;84,77;97,798;125,403;99,702;75,1;63,088;61,422;70,913;86,598;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42540000;1;01/02/2010;;1;1;83,679;54,891;68,968;20;3;1;1;1;;;75,1;64,429;54,891;55,213;69,533;70,913;65,779;69,877;74,047;76,511;74,397;76,511;74,397;70,222;69,533;69,533;71,606;71,259;77,574;83,679;66,118;69,533;64,429;60,099;59,44;61,754;72,649;62,087;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
42540000;1;01/01/2010;;1;1;149,722;55,213;85,078;1;31;1;1;1;;;149,722;105,869;117,715;95,149;88,806;85,865;94,772;89,175;89,546;82,592;80,43;79,356;79,356;82,954;85,865;88,068;104,704;79,356;76,511;75,1;76,157;77,929;85,5;82,592;58,784;78,998;100,85;71,259;61,422;57,804;55,213;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42540000;1;01/12/2009;;1;1;394,325;51,392;98,56;15;12;1;1;1;;;62,087;60,429;67,137;51,707;52,023;57,804;79,356;62,42;57,478;76,865;64,429;51,392;51,707;82,23;394,325;372,275;83,316;69,189;70,913;69,189;60,429;62,087;82,954;76,865;78,285;123,366;106,257;140,773;143,313;127,04;117,715;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42540000;1;01/11/2009;;1;1;381,2;53,93;80,312;12;30;1;1;1;;;75,804;96,66;78,998;63,757;63,088;70,913;63,757;61,09;60,429;90,658;109,384;381,2;132,4;84,77;75,1;67,478;66,797;59,112;55,857;56,504;54,57;58,13;61,422;62,42;61,09;59,769;61,09;60,429;62,753;53,93;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
42540000;1;01/10/2009;;1;1;147,148;45,205;67,12;29;2;1;1;1;;;47,344;45,205;45,205;47,037;48,27;48,579;48,89;50,136;53,292;63,088;63,757;53,611;53,93;53,93;59,769;61,09;59,769;54,57;53,611;54,891;120,935;93,27;60,429;59,44;58,13;98,178;77,219;86,965;147,148;128,271;84,77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42540000;1;01/08/2009;;1;1;59,112;49,201;53,345;25;31;1;1;1;;;54,891;56,18;53,611;54,25;55,213;54,25;56,18;54,25;53,611;54,891;53,611;55,213;54,571;54,891;53,611;53,292;52,657;51,392;51,707;50,763;51,707;51,392;52,023;53,292;59,112;52,974;52,974;51,707;50,763;49,512;49,201;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42540000;1;01/07/2009;;1;1;55,857;45,205;49,623;24;3;1;1;1;;;45,509;45,509;45,205;45,509;46,73;48,27;48,27;48,27;48,27;47,652;47,961;47,961;48,58;48,89;48,27;48,27;48,27;48,27;48,27;47,344;47,037;52,023;51,392;55,857;53,292;53,93;53,93;53,93;54,891;55,857;54,891;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
