Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42545500


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42545500;1;01/04/2019;;1;1;140,8;2,293;14,493;14;29;1;1;1;0;0;3,974;3,39;3,47;3,077;3,718;6,004;18,785;7,116;5,483;13,79;112,979;14,705;21,707;140,8;11,179;7,881;7,116;6,219;5,382;6,548;4,699;3,635;3,39;3,552;3,39;3,154;2,635;2,427;2,293;2,293;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42545500;1;01/02/2019;;1;1;;;;;;0;0;0;0;0;2,036;1,975;2,099;1,975;2,163;2,635;8,028;3,718;3,47;3,001;2,565;2,163;1,975;2,036;2,163;5,281;5,585;;;3,47;3,888;4,699;3,552;21,707;4,699;3,552;4,329;5,793;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;
42545500;1;01/01/2019;;1;1;;;;;;0;0;0;0;0;168,354;161,879;54,714;5,793;6,328;;;3,803;3,39;3,231;2,926;2,496;6,437;2,36;2,293;2,36;2,227;2,36;2,227;2,163;;;;;;;2,36;2,293;2,227;2,163;2,099;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;
42545500;1;01/12/2018;;1;1;150,445;1,795;19,015;30;26;1;1;1;0;0;3,974;3,552;5,083;31,39;12,372;4,42;4,699;3,552;6,219;48,545;93,885;6,548;4,793;4,699;3,803;3,47;3,39;3,001;2,293;2,163;2,036;1,975;2,099;1,914;1,914;1,795;10,355;17,581;66,032;150,445;81,484;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42545500;1;01/11/2018;;1;1;207,068;1,162;25,682;26;1;1;1;1;0;0;1,162;1,358;3,803;45,14;23,891;34,396;7,881;10,682;101,066;9,713;4,42;5,898;6,548;7,735;10,032;43,738;10,032;9,555;19,603;24,561;115,27;7,35;6,111;6,772;20,645;207,068;10,355;7;4,793;3,888;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42545500;1;01/10/2018;;1;1;71,678;0,468;5,041;25;7;1;1;1;0;0;0,629;0,629;0,595;0,595;0,562;0,498;0,468;0,468;0,468;0,498;0,776;0,665;0,665;0,562;0,498;0,665;0,896;1,162;2,163;7,116;4,42;8,476;7,881;32,381;71,678;3,888;2,293;1,409;1,209;1,069;0,981;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42545500;1;01/09/2018;;1;1;1,069;0,562;0,694;21;2;1;1;1;0;0;0,629;0,562;0,562;0,629;0,665;0,701;0,701;0,665;0,665;0,665;0,629;0,776;0,776;0,738;0,776;0,776;0,665;0,701;0,776;0,665;1,069;0,815;0,776;0,665;0,629;0,629;0,629;0,629;0,629;0,629;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;0;
42545500;1;01/08/2018;;1;1;0,776;0,498;0,604;17;11;1;1;1;0;0;0,629;0,629;0,629;0,53;0,562;0,562;0,53;0,562;0,562;0,562;0,498;0,498;0,562;0,562;0,595;0,562;0,776;0,665;0,595;0,595;0,629;0,629;0,701;0,629;0,701;0,665;0,665;0,665;0,562;0,595;0,629;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42545500;1;01/07/2018;;1;1;0,896;0,498;0,667;2;30;1;1;1;0;0;0,701;0,896;0,815;0,701;0,53;0,776;0,776;0,815;0,855;0,738;0,855;0,855;0,629;0,629;0,738;0,629;0,595;0,629;0,562;0,595;0,595;0,629;0,595;0,629;0,595;0,562;0,53;0,595;0,562;0,498;0,562;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42545500;1;01/06/2018;;1;1;1,115;0,701;0,958;4;29;1;1;1;0;0;1,069;1,025;1,025;1,115;1,115;1,025;0,981;0,938;1,025;1,025;1,069;1,069;1,115;0,938;0,938;0,981;0,938;0,938;0,938;0,938;0,938;0,938;0,938;0,896;0,938;0,896;0,776;0,815;0,701;0,701;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
