Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42980000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42980000;1;01/01/2022;;1;1;;;;;;0;0;0;;0;845,347;878,179;957,191;1054,072;1662,857;;;;;;;;;;;1361,682;1391,653;1479,165;1689,212;;;;;1343,438;1294,044;1107,705;979,471;872,944;806,628;;694,059;;;;;;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;;;;;;;0;;
42980000;1;01/12/2021;;1;1;;;;;;0;0;0;;0;539,716;524,305;;436,753;511,671;559,367;770,632;630,878;564,681;588,976;613,905;638,034;;665,684;682,023;706,224;710,82;843,641;929,784;1052,117;1046,265;1052,117;1119,847;;1142,319;1059,95;992,613;957,191;778,724;737,211;788,504;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;
42980000;1;01/11/2021;;1;1;;;;;;0;0;0;;0;64,402;64,402;64,402;66,209;81,979;86,618;92,722;102,523;116,406;;161,041;221,271;288,403;392,207;506,671;564,681;515,441;465,38;455,977;437,982;425,752;425,752;425,752;410,049;363,136;302,188;302,188;;292,619;490,628;;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;
42980000;1;01/10/2021;;1;1;;;;;;0;0;0;0;0;31,498;31,498;31,498;31,498;31,498;;31,498;31,498;31,498;31,498;31,498;;51,186;78,08;102,523;105,391;105,391;106,836;103,953;;128,603;127,827;123,211;118,658;118,658;101,1;78,725;68,034;64,402;64,402;;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;
42980000;1;01/09/2021;;1;1;;;;;;0;0;0;;0;46,33;46,33;46,33;46,33;46,33;46,33;46,33;44,752;43,194;43,194;43,194;42,167;41,15;39,143;37,662;36,203;36,203;36,203;34,292;34,292;34,292;32,419;32,419;32,419;37,173;40,141;42,167;;37,173;33,82;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;
42980000;1;01/08/2021;;1;1;;;;;;0;0;0;0;0;71,741;46,33;46,33;;55,088;65,605;68,647;73,621;74,252;75,52;75,52;75,52;75,52;71,741;71,741;;64,402;60,846;59,096;57,365;56,222;55,088;53,962;52,845;52,845;52,845;52,845;52,845;51,737;50,638;50,638;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42980000;1;01/07/2021;;1;1;60,846;57,365;58,559;30;14;1;1;1;;0;59,677;59,677;59,677;59,677;59,677;59,677;59,677;59,677;59,677;59,677;58,517;58,517;58,517;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;57,365;58,517;59,677;60,846;60,846;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
42980000;1;01/06/2021;;1;1;;;;;;0;0;0;;0;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;89,99;;78,08;;74,252;74,252;69,262;65,003;64,402;64,402;;62,023;62,023;;58,517;57,365;57,365;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;
42980000;1;01/05/2021;;1;1;158,514;95,484;116,177;4;29;1;1;1;;0;156,838;156,838;156,838;158,514;151,849;146,921;137,249;120,168;118,658;115,659;115,659;114,17;112,689;112,689;111,214;107,561;101,811;96,877;96,877;96,877;96,877;101,811;105,391;109,017;111,214;105,391;101,1;98,277;95,484;95,484;95,484;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;
42980000;1;01/04/2021;;1;1;;;;;;0;0;0;;0;260,55;260,55;260,55;260,55;260,55;257,522;254,506;246,53;240,61;291,563;315,126;326,063;;227,971;208,099;204,391;183,561;166,995;166,995;165,286;165,286;150,2;134,081;134,081;140,446;146,921;146,921;146,921;146,921;;;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
