Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42251000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42251000;1;01/01/2022;;1;1;139,809;66,721;118,206;13;31;1;1;1;;0;75,406;90,221;112,432;121,47;119,785;126,576;134,257;135,511;136,014;137,022;136,518;135,763;139,809;139,047;136,77;135,26;136,77;134,257;127,312;127,558;127,312;127,066;124,135;121,229;114,313;108,242;99,818;87,101;81,261;69,433;66,721;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42251000;1;01/12/2021;;1;1;;;;;;0;0;0;;0;13,642;14,73;14,496;14,652;;;;;;;;;;;;54,799;55,41;;66,581;65,049;;;;;;;;;;;45,366;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;
42251000;1;01/11/2021;;1;1;27,584;3,055;11,217;14;8;1;1;1;;0;3,506;4,802;6,312;6,686;6,22;3,203;3,203;3,055;3,43;4,301;10,287;15,12;19,561;27,584;19,963;11,876;9,315;9,167;10,287;11,571;11,571;27,501;20,77;13,797;10,512;9,912;8,871;12,795;16,062;15,277;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42251000;1;01/10/2021;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;9,688;13,411;11,495;9,39;7,067;5,674;4,972;4,383;3,818;3,278;2,417;2,486;10,738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;
42251000;1;01/09/2021;;1;1;7,769;3,203;4,916;1;28;1;1;1;;0;7,769;7,623;7,478;7,333;7,163;6,781;6,592;6,405;6,22;6,036;5,854;5,674;5,585;4,802;4,466;3,818;3,661;3,661;3,506;3,506;3,506;3,506;3,506;3,354;3,354;3,354;3,354;3,203;3,203;3,203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
42251000;1;01/08/2021;;1;1;9,688;7,769;8,641;1;31;1;1;1;;0;9,688;9,539;9,539;9,39;9,39;9,241;9,241;9,093;9,093;8,945;8,945;8,797;8,649;8,649;8,649;8,649;8,502;8,502;8,355;8,355;8,355;8,208;8,208;8,208;8,061;8,061;8,061;7,915;7,915;7,915;7,769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
42251000;1;01/07/2021;;1;1;13,72;9,688;10,69;1;31;1;1;1;;0;13,72;11,648;11,648;11,495;11,495;11,495;11,344;11,344;11,192;11,04;10,889;10,738;10,588;10,889;10,287;10,287;10,287;10,287;10,287;10,287;10,137;10,137;10,137;10,137;10,137;10,137;9,987;9,987;9,837;9,837;9,688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42251000;1;01/06/2021;;1;1;18,919;11,495;14,304;1;28;1;1;1;;0;18,919;18,679;18,36;18,041;17,723;17,405;17,088;16,771;15,747;15,198;14,574;14,263;13,952;13,565;13,333;13,102;13,179;13,025;12,871;12,718;12,564;12,411;12,411;12,411;12,411;12,105;11,8;11,495;11,495;11,495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
42251000;1;01/05/2021;;1;1;20,527;16,219;18,201;1;13;1;1;1;;0;20,527;19,561;18,919;18,28;17,802;17,484;17,326;17,167;17,009;16,851;16,692;16,377;16,219;16,377;16,377;17,326;19,08;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;18,919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42251000;1;01/04/2021;;1;1;31,695;21,012;25,415;1;30;1;1;1;;0;31,695;30,851;30,01;29,171;28,418;28,251;28,001;27,667;27,334;27,002;26,67;26,338;26,007;25,676;25,345;25,015;24,686;24,357;24,028;23,7;23,373;23,046;22,719;22,393;22,067;22,393;22,067;21,742;21,417;21,012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
