Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42840000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42840000;1;01/02/2022;;1;1;67,827;5,022;12,61;6;28;1;1;1;;0;5,403;7,38;7,01;6,919;8,159;67,827;20,812;8,159;13,125;22,129;19,902;11,549;19,369;19,902;14,54;18,932;7,38;6,919;6,564;6,74;11,299;7,286;7,286;6,651;5,93;5,596;5,288;5,022;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42840000;1;01/01/2022;;1;1;67,275;3,708;14,502;8;25;1;1;1;;0;10,276;8,989;6,564;16,843;13,54;9,424;24,925;67,275;40,546;28,842;58,603;43,355;12,321;8,516;6,874;6,221;5,889;6,651;5,097;4,684;5,288;4,536;4,099;3,884;3,708;5,635;17,167;7,666;3,955;3,743;4,463;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42840000;1;01/12/2021;;1;1;12,854;2,061;5,791;6;1;1;1;1;;0;2,061;2,092;2,215;4,027;3,122;12,854;11,867;4,316;3,156;2,823;2,277;2,277;11,931;5,752;7,861;4,61;10,81;7,763;12,854;8,362;5,674;5,596;5,364;4,759;3,638;3,258;2,922;3,089;7,763;3,813;10,63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42840000;1;01/11/2021;;1;1;11,803;1,12;2,841;22;6;1;1;1;;0;2,246;1,97;1,732;1,531;1,335;1,12;1,146;1,199;1,502;2,092;5,211;6,434;3,498;2,467;1,97;1,732;1,588;1,674;2,153;3,498;7,475;11,803;3,464;2,856;1,94;1,91;2,277;2,435;2,757;2,215;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42840000;1;01/10/2021;;1;1;;;;;;0;0;0;0;0;0,767;0,719;0,536;0,672;0,58;0,492;0,492;0,492;0,864;1,016;1,674;1,39;1,39;1,28;1,173;1,067;1,067;1,28;2,153;1,791;1,97;1,732;1,616;1,335;1,226;1,335;2,856;1,28;1,226;1,335;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;0;
42840000;1;01/09/2021;;1;1;0,99;0,514;0,702;1;24;1;1;1;;0;0,99;0,965;0,914;0,815;0,864;0,889;0,84;0,791;0,791;0,743;0,695;0,649;0,603;0,767;0,626;0,536;0,603;0,603;0,558;0,649;0,603;0,649;0,536;0,514;0,514;0,514;0,603;0,695;0,767;0,767;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42840000;1;01/08/2021;;1;1;1,173;0,84;0,992;9;30;1;1;1;;0;1,016;0,99;1,041;1,067;1,094;0,99;1,016;1,041;1,173;1,041;1,094;1,067;1,041;0,99;0,965;0,99;0,914;0,965;0,99;0,99;0,939;0,965;1,016;1,016;0,99;0,939;0,914;0,889;0,889;0,84;0,889;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42840000;1;01/07/2021;;1;1;1,146;0,84;1,009;8;29;1;1;1;;0;0,99;1,016;0,99;1,041;0,99;0,99;1,067;1,146;1,146;1,041;0,99;1,041;1,016;0,99;0,99;1,094;1,041;0,99;1,094;1,067;1,016;0,939;0,965;0,939;0,939;0,939;0,889;0,965;0,84;1,041;1,067;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42840000;1;01/06/2021;;1;1;1,28;0,99;1,09;11;9;1;1;1;;0;1,253;1,199;1,146;1,094;1,146;1,094;1,016;1,041;0,99;1,016;1,28;1,094;1,094;1,016;1,041;1,067;1,094;1,146;1,094;1,094;1,146;1,146;1,094;1,067;1,041;0,99;1,094;1,12;0,99;0,99;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42840000;1;01/05/2021;;1;1;1,645;1,094;1,279;2;23;1;1;1;0;0;1,502;1,645;1,446;1,363;1,308;1,308;1,308;1,253;1,335;1,335;1,446;1,39;1,308;1,335;1,39;1,173;1,226;1,226;1,226;1,363;1,308;1,199;1,094;1,094;1,173;1,12;1,094;1,173;1,146;1,173;1,199;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
